"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\PinBox.js", "JavaScript", 241, 0, 0, 2, 17, 260
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\PinMemberThumbnail.js", "JavaScript", 177, 0, 0, 0, 10, 187
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\SideSection.js", "JavaScript", 697, 0, 0, 3, 36, 736
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\acceptIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\close2Icon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\closeIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\editPencilIcon.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\emojiIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\leftArrowIcon.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\rightArrowIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\sendIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\tagIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\assets\tagWhiteIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\styles\commentEmojiPicker.css", "CSS", 0, 0, 234, 45, 54, 333
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groupPhotos\styles\photosScrollbar.css", "CSS", 0, 0, 32, 0, 10, 42
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\DescriptionSection.js", "JavaScript", 94, 0, 0, 0, 9, 103
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\GroupAlbumSection.js", "JavaScript", 232, 0, 0, 2, 16, 250
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\GroupAlbumThumbnail.js", "JavaScript", 225, 0, 0, 0, 16, 241
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\GroupInside.js", "JavaScript", 616, 0, 0, 9, 30, 655
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\GroupThumbnail.js", "JavaScript", 320, 0, 0, 0, 15, 335
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\GroupsPage.js", "JavaScript", 283, 0, 0, 2, 20, 305
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\InvitationBox.js", "JavaScript", 274, 0, 0, 2, 19, 295
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\InviteFriendThumbnail.js", "JavaScript", 156, 0, 0, 0, 8, 164
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\MemberThumbnail.js", "JavaScript", 162, 0, 0, 0, 10, 172
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\MembersSection.js", "JavaScript", 319, 0, 0, 1, 17, 337
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\addGroupIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\closeIconBlack.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\closeIconWhite.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\crownIcon.svg", "XML", 0, 7, 0, 0, 1, 8
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\crownIconWhite.svg", "XML", 0, 7, 0, 0, 1, 8
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\descriptionIcon.svg", "XML", 0, 10, 0, 1, 0, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\editIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\groupMemberIcon.svg", "XML", 0, 68, 0, 1, 1, 70
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\leaveGroupIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\openGroupIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\requestsIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\assets\threeDotsIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\groups\groupsScrollbar.css", "CSS", 0, 0, 23, 0, 3, 26
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\menu\Menu.js", "JavaScript", 277, 0, 0, 0, 17, 294
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\menu\UserProfilePicture.js", "JavaScript", 64, 0, 0, 1, 8, 73
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\menu\assets\albums.svg", "XML", 0, 8, 0, 0, 1, 9
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\menu\assets\chats.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\menu\assets\emoji.js", "JavaScript", 17, 0, 0, 0, 1, 18
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\menu\assets\expandIcon.svg", "XML", 0, 23, 0, 0, 1, 24
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\menu\assets\groups.svg", "XML", 0, 20, 0, 0, 1, 21
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\menu\assets\logout.svg", "XML", 0, 3, 0, 0, 1, 4
